,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime
362,Batman Begins,Christian Bale, Liam Neeson, Katie Holmes, Michael Caine,Action, Crime, Drama,2005.0,7.704,Christopher Nolan,140.0
363,Batman,Teri Garr, Vincent Price, Carolyn Jones, Joan Collins,Action, Crime, Fantasy,1966.0,0.0,unknown,25.0
364,Batman & Robin,George Clooney, Arnold Schwarzenegger, Chris O'Donnell, Uma Thurman,Sci-Fi, Action, Fantasy,1997.0,4.3,William M. Elvin,125.0
365,Batman Returns,Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken,Action, Fantasy, Superhero,1992.0,6.921,Tim Burton,126.0
366,Batman The Animated Series,Kevin Conroy, Loren Lester, Efrem Zimbalist Jr.,unknown,Animation, Action, Adventure,1992.0,8.16667,unknown,90.0
367,Batman Forever,Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman,Action, Crime, Fantasy,1995.0,5.415,William M. Elvin,121.0
368,Pyaar Ka Punchnama,Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma, Nushrratt Bharuccha,Drama, Comedy, Romance,2011.0,6.822,Luv Ranjan,149.0
374,Thoda Pyaar Thoda Magic,Rani Mukerji, Saif Ali Khan, Ameesha Patel, Rishi Kapoor,Drama, Comedy, Family,2008.0,5.0,Kunal Kohli,145.0
375,De De Pyaar De,Ajay Devgn, Tabu, Rakul Preet Singh, Jimmy Shergill,Romance, Comedy, Drama,2019.0,6.0,Akiv Ali,135.0
376,Tu Jhoothi Main Makkaar,Ranbir Kapoor, Shraddha Kapoor, Dimple Kapadia, Boney Kapoor,Comedy, Romance,unknown,2023.0,1.0,Luv Ranjan,90.0
377,Brahmāstra Part One: Shiva,Ranbir Kapoor, Alia Bhatt, Mouni Roy, Amitabh Bachchan,Fantasy, Action, Adventure,2022.0,6.443,Ayan Mukerji,168.0
381,Animal,Ranbir Kapoor, Rashmika Mandanna, Anil Kapoor, Bobby Deol,Action, Crime, Drama,2023.0,6.543,Sandeep Reddy Vanga,201.0
382,Animal Control,Joel McHale, Fiona Gubelmann, Vella Lovell, Grace Palmer,Action, Comedy,unknown,2023.0,0.0,unknown,unknown
383,Animal Kingdom,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
384,The Animal Kingdom,Romain Duris, Paul Kircher, Adèle Exarchopoulos, Tom Mercier,Sci-Fi, Adventure, Drama,2023.0,7.078,Mahaut Pellerin,127.0
385,Animal House,John Belushi, Tim Matheson, John Vernon, Verna Bloom,Comedy, Action,unknown,1978.0,6.996,Clifford C. Coleman,109.0
386,Animal Kingdom,Ben Mendelsohn, Joel Edgerton, Guy Pearce, Luke Ford,Crime, Drama, Action,2010.0,6.788,David Michôd,113.0
387,The Animal,Rob Schneider, Colleen Haskell, John C. McGinley, Ed Asner,Comedy, Action, Sci-Fi,2001.0,5.143,Jeff Gourson,84.0
388,Animal Factory,Willem Dafoe, Edward Furlong, Danny Trejo, Mark Boone Junior,Crime, Drama, Action,2000.0,6.3,Steve Buscemi,94.0
